Animal_ID,ToeClip,BC_Cage,Treatment,Week,Regeneration
BC265,3200,11,DR.IGF1,5,11
BC266,3201,11,DR.IGF2,5,11
BC268,3203,11,DR,5,8
BC272,3212,11,DR.IGF2,5,9
BC274,3215,11,AdLib,5,14.5
BC275,3220,8,AdLib,5,5.5
BC276,3221,11,AdLib,5,17
BC280,3230,11,DR.IGF1,5,NA
BC284,3235,36,AdLib,5,NA
BC288,3253,32,DR.IGF1,5,12
BC290,3300,32,DR.IGF2,5,5
BC298,3313,36,DR.IGF2,5,20
BC312,3351,28,DR.IGF2,5,11
BC315,3355,15,DR,5,17
BC316,3400,8,DR.IGF2,5,10
BC322,3411,15,DR,5,NA
BC327,3421,32,DR.IGF1,5,1
BC333,3435,36,AdLib,5,20
BC335,3451,35,AdLib,5,13
BC336,3452,35,DR.IGF2,5,18
BC337,3453,35,DR.IGF2,5,18
BC338,3455,35,DR,5,10
BC344,3510,31,DR.IGF2,5,11
BC350,3521,29,DR.IGF2,5,NA
BC351,3522,29,DR,5,5
BC352,3523,29,DR.IGF2,5,6.5
BC360,3551,25,DR,5,21
BC361,3552,25,AdLib,5,19
BC362,3555,25,DR.IGF1,5,11
BC364,4000,25,DR,5,15
BC380,4031,20,DR,5,NA
BC383,4035,20,DR,5,7
BC384,4050,19,AdLib,5,NA
BC386,4052,19,DR,5,7
BC392,4103,39,DR.IGF2,5,5
BC393,4105,39,DR.IGF1,5,19
BC401,4122,32,DR.IGF1,5,NA
BC402,4123,28,DR.IGF2,5,13
BC403,4125,28,AdLib,5,9
BC410,4151,18,AdLib,5,11.5
BC413,4155,18,DR.IGF1,5,NA
BC433,4250,45,DR.IGF1,5,10
BC434,4251,45,AdLib,5,13
BC435,4252,45,DR.IGF2,5,13
BC436,4253,45,DR,5,7
BC452,4325,45,DR.IGF1,5,NA
BC457,4335,46,AdLib,5,11
BC460,4352,46,DR.IGF1,5,12
BC461,4353,46,DR.IGF1,5,12.5
BC464,4401,46,DR.IGF1,5,12.5
BC475,4503,50,DR,5,12
BC476,4505,50,AdLib,5,13
BC477,4510,50,AdLib,5,13
BC512,5030,59,DR.IGF2,5,9
BC535,5133,39,AdLib,5,12
BC539,5152,28,DR.IGF2,5,NA
BC546,5205,29,DR.IGF2,5,18
BC556,5225,50,DR.IGF1,5,NA
BC560,5233,NA,DR.IGF1,5,12
BC561,5235,NA,DR,5,19
BC563,5251,NA,DR.IGF1,5,NA
BC566,5255,59,AdLib,5,16.5
BC514,5032,59,DR,5,NA
BC538,5151,32,DR,5,5
BC039,1455,32,DR.IGF1,6,20
BC048,1513,28,AdLib,6,13
BC099,1/2111,9,AdLib,6,17
BC121,2203,32,DR.IGF1,6,13
BC144,2301,39,DR,6,15.5
BC158,2330,28,DR.IGF2,6,14
BC161,2333,8,AdLib,6,17
BC174,2411,36,DR.IGF1,6,NA
BC181,2425,39,DR,6,13
BC184,2432,39,DR,6,16
BC197,2510,28,DR.IGF1,6,16
BC205,2523,15,DR.IGF2,6,19
BC211,2550,28,AdLib,6,21
BC214,2555,8,DR,6,15
BC234,3505,NA,DR.IGF1,6,NA
BC260,3150,32,DR,6,NA
